gender,age_group,occasion,skin_tone,style,item,brand,color,price,image_url,product_url
female,adult,party,brown,classic,Vesper bengaline square neck open back midaxi...,Vesper,mixed,111.0,https://images.asos-media.com/products/vesper-bengaline-square-neck-open-back-midaxi-dress-in-emerald/210410377-1-emerald,https://www.asos.com/vesper/vesper-bengaline-square-neck-open-back-midaxi-dress-in-emerald/prd/210410377#colourWayId-210410379
female,senior,party,olive,classic,ARRANGE sleeveless bubble hem midi dress in s...,ARRANGE,mixed,269.0,https://images.asos-media.com/products/arrange-sleeveless-bubble-hem-midi-dress-in-soft-check-print/210342065-1-checkprint,https://www.asos.com/arrange/arrange-sleeveless-bubble-hem-midi-dress-in-soft-check-print/prd/210342065#colourWayId-210342067
female,young_adult,casual,olive,classic,Sister Jane Bridal polka dot set in white,sister jane,white,250.0,https://images.asos-media.com/products/sister-jane-bridal-polka-dot-set-in-white/210465846-2,https://www.asos.com/sister-jane/sister-jane-bridal-polka-dot-set-in-white/grp/210536573#colourWayId-210465849
female,senior,party,fair,classic,ASOS LUXE scallop hem mini dress with cotton ...,ASOS LUXE,mixed,189.0,https://images.asos-media.com/products/asos-luxe-scallop-hem-mini-dress-with-cotton-poplin-skirt-with-embellished-pearl-trim-in-mono/209773089-1-black,https://www.asos.com/asos-luxe/asos-luxe-scallop-hem-mini-dress-with-cotton-poplin-skirt-with-embellished-pearl-trim-in-mono/prd/209773089#colourWayId-209773090
female,teen,party,dark,classic,ASOS LUXE corsage mini dress with ruffle deta...,ASOS LUXE,pink,149.0,https://images.asos-media.com/products/asos-luxe-corsage-mini-dress-with-ruffle-detail-in-pink/209688052-1-pink,https://www.asos.com/asos-luxe/asos-luxe-corsage-mini-dress-with-ruffle-detail-in-pink/prd/209688052#colourWayId-209688064
female,adult,formal,fair,elegant,ASOS DESIGN skinny double breasted suit in bl...,ASOS DESIGN,black,208.99,https://images.asos-media.com/products/asos-design-skinny-double-breasted-suit-in-black-twill/210204710-2,https://www.asos.com/asos-design/asos-design-skinny-double-breasted-suit-in-black-twill/grp/210750716
female,young_adult,party,dark,classic,ASOS DESIGN Curve racer neck bias maxi dress ...,ASOS Curve,red,69.99,https://images.asos-media.com/products/asos-design-curve-racer-neck-bias-maxi-dress-with-godet-hem-in-red/210061416-1-red,https://www.asos.com/asos-curve/asos-design-curve-racer-neck-bias-maxi-dress-with-godet-hem-in-red/prd/210061416#colourWayId-210061419
female,teen,party,dark,classic,ASOS DESIGN linen blend vest mini dress with ...,ASOS DESIGN,red,84.99,https://images.asos-media.com/products/asos-design-linen-blend-vest-mini-dress-with-poplin-skirt-in-red-polka-dots/209912340-1-redpolkadot,https://www.asos.com/asos-design/asos-design-linen-blend-vest-mini-dress-with-poplin-skirt-in-red-polka-dots/prd/209912340#colourWayId-209912344
female,young_adult,party,olive,classic,& Other Stories asymmetric hem sleeveless dre...,& Other Stories,pink,156.0,https://images.asos-media.com/products/other-stories-asymmetric-hem-sleeveless-dress-in-plaster-pink/210374033-1-plasterpink,https://www.asos.com/other-stories/other-stories-asymmetric-hem-sleeveless-dress-in-plaster-pink/prd/210374033#colourWayId-210374034
female,senior,party,medium,classic,Sister Jane oversized collar puff sleeve midi...,sister jane,black,182.0,https://images.asos-media.com/products/sister-jane-oversized-collar-puff-sleeve-midi-dress-in-black/210465991-1-black,https://www.asos.com/sister-jane/sister-jane-oversized-collar-puff-sleeve-midi-dress-in-black/prd/210465991#colourWayId-210466000
female,young_adult,streetwear,olive,hypebeast,Gina Tricot relaxed fit hoodie and sweatpants...,GINA TRICOT,white,115.0,https://images.asos-media.com/products/gina-tricot-relaxed-fit-hoodie-and-sweatpants-set-in-off-white/210174059-2,https://www.asos.com/gina-tricot/gina-tricot-relaxed-fit-hoodie-and-sweatpants-set-in-off-white/grp/210700508
female,teen,party,dark,classic,ASOS DESIGN printed mesh draped halter neck m...,ASOS DESIGN,mixed,64.99,https://images.asos-media.com/products/asos-design-printed-mesh-draped-halter-neck-mini-dress-with-blouson-in-polka-dots/210521610-1-polkadot,https://www.asos.com/asos-design/asos-design-printed-mesh-draped-halter-neck-mini-dress-with-blouson-in-polka-dots/prd/210521610#colourWayId-210521611
female,teen,streetwear,olive,hypebeast,Gina Tricot mix and match slim fit hoodie & s...,GINA TRICOT,pink,104.0,https://images.asos-media.com/products/gina-tricot-mix-and-match-slim-fit-hoodie-sweatpants-set-in-pink/210303319-3,https://www.asos.com/gina-tricot/gina-tricot-mix-and-match-slim-fit-hoodie-sweatpants-set-in-pink/grp/210684335
female,adult,party,fair,classic,4th & Reckless chiffon structured mini dress ...,4th & Reckless,white,148.0,https://images.asos-media.com/products/4th-reckless-chiffon-structured-mini-dress-and-draped-cape-top-set-in-white/210077011-3,https://www.asos.com/4th-reckless/4th-reckless-chiffon-structured-mini-dress-and-draped-cape-top-set-in-white/grp/210552550
female,senior,party,fair,classic,ASOS LUXE ruched bust structured mini dress i...,ASOS LUXE,black,169.0,https://images.asos-media.com/products/asos-luxe-ruched-bust-structured-mini-dress-in-black/209712270-1-black,https://www.asos.com/asos-luxe/asos-luxe-ruched-bust-structured-mini-dress-in-black/prd/209712270#colourWayId-209712275
female,adult,party,olive,classic,Pretty Lavish Curve knit scoop neck maxi dres...,Pretty Lavish Curve,brown,192.0,https://images.asos-media.com/products/pretty-lavish-curve-knit-scoop-neck-maxi-dress-and-cardigan-set-in-brown/209823284-4,https://www.asos.com/pretty-lavish-curve/pretty-lavish-curve-knit-scoop-neck-maxi-dress-and-cardigan-set-in-brown/grp/210617837
female,adult,party,dark,classic,ASOS DESIGN high neck draped front extreme ca...,ASOS DESIGN,blue,69.99,https://images.asos-media.com/products/asos-design-high-neck-draped-front-extreme-cape-sleeve-mini-dress-in-blue-floral/209965892-1-bluefloral,https://www.asos.com/asos-design/asos-design-high-neck-draped-front-extreme-cape-sleeve-mini-dress-in-blue-floral/prd/209965892#colourWayId-209965928
female,young_adult,party,medium,classic,ASOS DESIGN lace sleeve detailing asymmetric ...,ASOS DESIGN,pink,79.99,https://images.asos-media.com/products/asos-design-lace-sleeve-detailing-asymmetric-seams-maxi-dress-in-pink-plaid-print/209863845-1-pinkcheck,https://www.asos.com/asos-design/asos-design-lace-sleeve-detailing-asymmetric-seams-maxi-dress-in-pink-plaid-print/prd/209863845#colourWayId-209863846
female,senior,formal,olive,elegant,"ASOS DESIGN mix & match collarless blazer, ba...",ASOS DESIGN,mixed,159.98,https://images.asos-media.com/products/asos-design-mix-match-collarless-blazer-bandeau-capri-pants-in-mono-dot/210258695-2,https://www.asos.com/asos-design/asos-design-mix-match-collarless-blazer-bandeau-capri-pants-in-mono-dot/grp/210669782
